Transaction ID,Customer ID,Transaction Date,Business Line,Product/Service,Revenue,Data Source,Email,Age Range,Gender,Region
TXN000001,CUST00150,2024-01-01,Consumer Products,Merchandise - Collectibles,54.06,3rd Party - Walmart,,,,East Coast
TXN000002,CUST00642,2024-01-01,Consumer Products,Merchandise - Apparel,40.87,3rd Party - Target,,,,West Coast
TXN000003,CUST00035,2024-01-01,Streaming,Monthly Subscription,10.72,1st Party - Streaming Platform,cust00035@email.com,45-54,Prefer not to say,Southwest
TXN000004,CUST00163,2024-01-02,Theatrical,Mystery Manor,17.24,3rd Party - AMC Theatres,,,,Southwest
TXN000005,CUST00185,2024-01-02,Theatrical,Space Odyssey 2,27.81,3rd Party - Cinemark,,,,East Coast
TXN000006,CUST00139,2024-01-02,Consumer Products,Merchandise - Toys,84.3,3rd Party - Amazon,,,,South
TXN000007,CUST00065,2024-01-02,Studio Tours,VIP Tour,236.66,1st Party - Studio Tours,cust00065@email.com,,,West Coast
TXN000008,CUST00147,2024-01-03,Streaming,Annual Subscription,117.19,1st Party - Streaming Platform,cust00147@email.com,55+,F,Midwest
TXN000009,CUST00148,2024-01-03,Streaming,Premium Tier Upgrade,105.28,1st Party - Streaming Platform,cust00148@email.com,25-34,F,International
TXN000010,CUST00140,2024-01-03,Theatrical,Action Thriller,14.53,3rd Party - Cinemark,,,,International
TXN000011,CUST00634,2024-01-04,Consumer Products,Merchandise - Toys,39.03,3rd Party - Amazon,,,,East Coast
TXN000012,CUST00039,2024-01-04,Online Store,Accessories,77.32,1st Party - Online Store,cust00039@email.com,45-54,Prefer not to say,Midwest
TXN000013,CUST00172,2024-01-04,Theatrical,Mystery Manor,19.4,3rd Party - Regal Cinemas,,,,Southwest
TXN000014,CUST00002,2024-01-04,Streaming,Annual Subscription,100.76,1st Party - Streaming Platform,cust00002@email.com,,,International
TXN000015,CUST00092,2024-01-04,Consumer Products,Merchandise - Home Goods,64.24,3rd Party - Target,,,,Midwest
TXN000016,CUST00212,2024-01-04,Online Store,Books,53.1,1st Party - Online Store,cust00212@email.com,,,West Coast
TXN000017,CUST00154,2024-01-04,Theatrical,Superhero Origins,15.92,3rd Party - Cinemark,,,,Southwest
TXN000018,CUST00016,2024-01-04,Studio Tours,Behind-the-Scenes Experience,302.1,1st Party - Studio Tours,cust00016@email.com,18-24,M,South
TXN000019,CUST00069,2024-01-04,Streaming,Monthly Subscription,12.99,1st Party - Streaming Platform,cust00069@email.com,18-24,M,East Coast
TXN000020,CUST00079,2024-01-05,Online Store,Accessories,67.48,1st Party - Online Store,cust00079@email.com,35-44,Other,East Coast
TXN000021,CUST00173,2024-01-05,Studio Tours,Behind-the-Scenes Experience,316.34,1st Party - Studio Tours,cust00173@email.com,,,West Coast
TXN000022,CUST00745,2024-01-05,Consumer Products,Merchandise - Collectibles,24.98,3rd Party - Walmart,,,,Midwest
TXN000023,CUST00138,2024-01-05,Theatrical,Space Odyssey 2,23.21,3rd Party - Cinemark,,,,Midwest
TXN000024,CUST00223,2024-01-05,Streaming,Premium Tier Upgrade,99.53,1st Party - Streaming Platform,cust00223@email.com,35-44,M,East Coast
TXN000025,CUST00171,2024-01-05,Studio Tours,VIP Tour,329.78,1st Party - Studio Tours,cust00171@email.com,35-44,F,West Coast
TXN000026,CUST00231,2024-01-05,Consumer Products,Merchandise - Home Goods,68.82,3rd Party - Target,,,,South
TXN000027,CUST00063,2024-01-05,Online Store,Collectible,49.18,1st Party - Online Store,cust00063@email.com,,,Midwest
TXN000028,CUST00086,2024-01-05,Consumer Products,Merchandise - Home Goods,23.21,3rd Party - Target,,,,International
TXN000029,CUST00205,2024-01-05,Online Store,Books,107.9,1st Party - Online Store,cust00205@email.com,,,Midwest
TXN000030,CUST00190,2024-01-05,Streaming,Monthly Subscription,14.31,1st Party - Streaming Platform,cust00190@email.com,45-54,Other,South
TXN000031,CUST00187,2024-01-05,Online Store,Collectible,77.38,1st Party - Online Store,cust00187@email.com,35-44,Other,West Coast
TXN000032,CUST00013,2024-01-05,Streaming,Monthly Subscription,14.9,1st Party - Streaming Platform,cust00013@email.com,55+,F,Midwest
TXN000033,CUST00022,2024-01-06,Studio Tours,Behind-the-Scenes Experience,243.78,1st Party - Studio Tours,cust00022@email.com,45-54,F,International
TXN000034,CUST00013,2024-01-06,Streaming,Monthly Subscription,9.83,1st Party - Streaming Platform,cust00013@email.com,45-54,F,East Coast
TXN000035,CUST00100,2024-01-06,Theatrical,Superhero Origins,21.29,3rd Party - Cinemark,,,,West Coast
TXN000036,CUST00714,2024-01-06,Consumer Products,Merchandise - Collectibles,80.91,3rd Party - Walmart,,,,East Coast
TXN000037,CUST00670,2024-01-06,Theatrical,Mystery Manor,22.19,3rd Party - Cinemark,,,,Southwest
TXN000038,CUST00213,2024-01-06,Online Store,Collectible,22.65,1st Party - Online Store,cust00213@email.com,45-54,Other,Midwest
TXN000039,CUST00113,2024-01-06,Streaming,Monthly Subscription,10.21,1st Party - Streaming Platform,cust00113@email.com,55+,Other,East Coast
TXN000040,CUST00113,2024-01-06,Theatrical,Action Thriller,20.63,3rd Party - Regal Cinemas,,,,West Coast
TXN000041,CUST00115,2024-01-06,Online Store,Apparel,42.85,1st Party - Online Store,cust00115@email.com,18-24,Other,Midwest
TXN000042,CUST00246,2024-01-06,Online Store,Action Figure,73.12,1st Party - Online Store,cust00246@email.com,18-24,M,West Coast
TXN000043,CUST00180,2024-01-06,Streaming,Premium Tier Upgrade,99.83,1st Party - Streaming Platform,cust00180@email.com,55+,Other,East Coast
TXN000044,CUST00193,2024-01-07,Consumer Products,Merchandise - Apparel,63.26,3rd Party - Amazon,,,,South
TXN000045,CUST00024,2024-01-07,Theatrical,Family Adventure,26.48,3rd Party - Regal Cinemas,,,,South
TXN000046,CUST00611,2024-01-07,Theatrical,Mystery Manor,27.26,3rd Party - AMC Theatres,,,,East Coast
TXN000047,CUST00212,2024-01-07,Theatrical,Superhero Origins,24.22,3rd Party - AMC Theatres,,,,International
TXN000048,CUST00194,2024-01-07,Streaming,Annual Subscription,99.73,1st Party - Streaming Platform,cust00194@email.com,25-34,F,South
TXN000049,CUST00143,2024-01-07,Theatrical,Mystery Manor,23.09,3rd Party - AMC Theatres,,,,South
TXN000050,CUST00206,2024-01-07,Streaming,Premium Tier Upgrade,99.65,1st Party - Streaming Platform,cust00206@email.com,,,Southwest
TXN000051,CUST00233,2024-01-07,Theatrical,Action Thriller,25.44,3rd Party - Cinemark,,,,Southwest
TXN000052,CUST00213,2024-01-07,Online Store,Action Figure,27.81,1st Party - Online Store,cust00213@email.com,25-34,Prefer not to say,South
TXN000053,CUST00715,2024-01-07,Theatrical,Superhero Origins,13.8,3rd Party - Regal Cinemas,,,,International
TXN000054,CUST00126,2024-01-07,Theatrical,Mystery Manor,27.31,3rd Party - Regal Cinemas,,,,International
TXN000055,CUST00033,2024-01-08,Theatrical,Space Odyssey 2,15.05,3rd Party - AMC Theatres,,,,West Coast
TXN000056,CUST00245,2024-01-08,Online Store,Action Figure,37.24,1st Party - Online Store,cust00245@email.com,,,International
TXN000057,CUST00110,2024-01-08,Studio Tours,VIP Tour,244.65,1st Party - Studio Tours,cust00110@email.com,18-24,Prefer not to say,Midwest
TXN000058,CUST00623,2024-01-08,Theatrical,Action Thriller,16.23,3rd Party - Regal Cinemas,,,,West Coast
TXN000059,CUST00006,2024-01-08,Streaming,Premium Tier Upgrade,134.56,1st Party - Streaming Platform,cust00006@email.com,25-34,M,International
TXN000060,CUST00175,2024-01-08,Streaming,Annual Subscription,90.28,1st Party - Streaming Platform,cust00175@email.com,18-24,Other,Southwest
TXN000061,CUST00218,2024-01-09,Studio Tours,General Admission,59.5,1st Party - Studio Tours,cust00218@email.com,25-34,M,West Coast
TXN000062,CUST00166,2024-01-09,Consumer Products,Merchandise - Toys,20.56,3rd Party - Walmart,,,,West Coast
TXN000063,CUST00210,2024-01-09,Theatrical,Superhero Origins,21.08,3rd Party - AMC Theatres,,,,Midwest
TXN000064,CUST00209,2024-01-09,Consumer Products,Merchandise - Collectibles,44.47,3rd Party - Walmart,,,,International
TXN000065,CUST00240,2024-01-09,Studio Tours,Behind-the-Scenes Experience,292.93,1st Party - Studio Tours,cust00240@email.com,35-44,F,South
TXN000066,CUST00098,2024-01-09,Studio Tours,Behind-the-Scenes Experience,348.63,1st Party - Studio Tours,cust00098@email.com,35-44,M,South
TXN000067,CUST00249,2024-01-09,Studio Tours,General Admission,66.5,1st Party - Studio Tours,cust00249@email.com,55+,M,International
TXN000068,CUST00148,2024-01-10,Theatrical,Superhero Origins,27.01,3rd Party - Cinemark,,,,West Coast
TXN000069,CUST00642,2024-01-10,Theatrical,Space Odyssey 2,15.65,3rd Party - AMC Theatres,,,,International
TXN000070,CUST00129,2024-01-10,Consumer Products,Merchandise - Apparel,24.62,3rd Party - Walmart,,,,Southwest
TXN000071,CUST00083,2024-01-10,Consumer Products,Merchandise - Home Goods,27.17,3rd Party - Target,,,,Southwest
TXN000072,CUST00049,2024-01-10,Online Store,Apparel,61.31,1st Party - Online Store,cust00049@email.com,45-54,F,South
TXN000073,CUST00017,2024-01-10,Studio Tours,Behind-the-Scenes Experience,239.42,1st Party - Studio Tours,cust00017@email.com,25-34,Other,International
TXN000074,CUST00029,2024-01-11,Consumer Products,Merchandise - Home Goods,25.09,3rd Party - Target,,,,Midwest
TXN000075,CUST00052,2024-01-11,Streaming,Monthly Subscription,12.73,1st Party - Streaming Platform,cust00052@email.com,45-54,M,Southwest
TXN000076,CUST00205,2024-01-11,Consumer Products,Merchandise - Apparel,30.7,3rd Party - Amazon,,,,Midwest
TXN000077,CUST00057,2024-01-11,Online Store,Books,94.63,1st Party - Online Store,cust00057@email.com,35-44,F,West Coast
TXN000078,CUST00023,2024-01-11,Online Store,Collectible,104.5,1st Party - Online Store,cust00023@email.com,,,South
TXN000079,CUST00060,2024-01-11,Online Store,Accessories,79.72,1st Party - Online Store,cust00060@email.com,35-44,F,International
TXN000080,CUST00196,2024-01-12,Consumer Products,Merchandise - Home Goods,75.11,3rd Party - Walmart,,,,Midwest
TXN000081,CUST00623,2024-01-12,Consumer Products,Merchandise - Home Goods,74.44,3rd Party - Amazon,,,,International
TXN000082,CUST00017,2024-01-12,Theatrical,Action Thriller,20.96,3rd Party - Regal Cinemas,,,,Southwest
TXN000083,CUST00151,2024-01-12,Consumer Products,Merchandise - Collectibles,60.41,3rd Party - Walmart,,,,West Coast
TXN000084,CUST00247,2024-01-12,Streaming,Monthly Subscription,13.39,1st Party - Streaming Platform,cust00247@email.com,55+,Other,International
TXN000085,CUST00107,2024-01-13,Studio Tours,VIP Tour,321.93,1st Party - Studio Tours,cust00107@email.com,35-44,M,West Coast
TXN000086,CUST00130,2024-01-13,Online Store,Apparel,98.9,1st Party - Online Store,cust00130@email.com,25-34,F,Midwest
TXN000087,CUST00121,2024-01-13,Studio Tours,General Admission,69.78,1st Party - Studio Tours,cust00121@email.com,35-44,F,International
TXN000088,CUST00016,2024-01-13,Streaming,Monthly Subscription,12.06,1st Party - Streaming Platform,cust00016@email.com,35-44,M,South
TXN000089,CUST00089,2024-01-13,Online Store,Collectible,70.91,1st Party - Online Store,cust00089@email.com,45-54,M,International
TXN000090,CUST00076,2024-01-13,Studio Tours,General Admission,46.15,1st Party - Studio Tours,cust00076@email.com,45-54,M,Midwest
TXN000091,CUST00122,2024-01-13,Online Store,Collectible,102.44,1st Party - Online Store,cust00122@email.com,18-24,M,Midwest
TXN000092,CUST00098,2024-01-14,Online Store,Action Figure,116.22,1st Party - Online Store,cust00098@email.com,35-44,M,Southwest
TXN000093,CUST00239,2024-01-14,Online Store,Books,58.56,1st Party - Online Store,cust00239@email.com,35-44,F,South
TXN000094,CUST00126,2024-01-14,Consumer Products,Merchandise - Collectibles,45.4,3rd Party - Amazon,,,,South
TXN000095,CUST00047,2024-01-14,Online Store,Apparel,89.9,1st Party - Online Store,cust00047@email.com,18-24,Other,East Coast
TXN000096,CUST00201,2024-01-14,Consumer Products,Merchandise - Collectibles,41.53,3rd Party - Target,,,,South
TXN000097,CUST00174,2024-01-14,Streaming,Monthly Subscription,14.83,1st Party - Streaming Platform,cust00174@email.com,35-44,F,Midwest
TXN000098,CUST00126,2024-01-14,Consumer Products,Merchandise - Apparel,44.56,3rd Party - Target,,,,Midwest
TXN000099,CUST00212,2024-01-15,Studio Tours,Behind-the-Scenes Experience,166.24,1st Party - Studio Tours,cust00212@email.com,55+,Other,International
TXN000100,CUST00137,2024-01-15,Studio Tours,Behind-the-Scenes Experience,159.44,1st Party - Studio Tours,cust00137@email.com,25-34,Other,Southwest
TXN000101,CUST00188,2024-01-15,Streaming,Annual Subscription,129.96,1st Party - Streaming Platform,cust00188@email.com,25-34,M,West Coast
TXN000102,CUST00071,2024-01-15,Streaming,Monthly Subscription,13.73,1st Party - Streaming Platform,cust00071@email.com,18-24,Prefer not to say,International
TXN000103,CUST00125,2024-01-15,Studio Tours,VIP Tour,308.24,1st Party - Studio Tours,cust00125@email.com,,,Southwest
TXN000104,CUST00128,2024-01-16,Theatrical,Action Thriller,15.27,3rd Party - Regal Cinemas,,,,Southwest
TXN000105,CUST00721,2024-01-16,Theatrical,Family Adventure,24.73,3rd Party - AMC Theatres,,,,East Coast
TXN000106,CUST00208,2024-01-16,Online Store,Collectible,76.54,1st Party - Online Store,cust00208@email.com,45-54,M,Southwest
TXN000107,CUST00156,2024-01-16,Studio Tours,General Admission,66.44,1st Party - Studio Tours,cust00156@email.com,25-34,F,Midwest
TXN000108,CUST00165,2024-01-16,Consumer Products,Merchandise - Collectibles,19.87,3rd Party - Walmart,,,,South
TXN000109,CUST00187,2024-01-16,Online Store,Action Figure,95.37,1st Party - Online Store,cust00187@email.com,45-54,Prefer not to say,Midwest
TXN000110,CUST00207,2024-01-17,Theatrical,Action Thriller,22.68,3rd Party - Cinemark,,,,South
TXN000111,CUST00077,2024-01-17,Streaming,Premium Tier Upgrade,116.98,1st Party - Streaming Platform,cust00077@email.com,18-24,Prefer not to say,West Coast
TXN000112,CUST00109,2024-01-17,Consumer Products,Merchandise - Toys,17.38,3rd Party - Amazon,,,,East Coast
TXN000113,CUST00211,2024-01-17,Studio Tours,General Admission,77.2,1st Party - Studio Tours,cust00211@email.com,18-24,F,Southwest
TXN000114,CUST00142,2024-01-17,Theatrical,Superhero Origins,14.09,3rd Party - Regal Cinemas,,,,Southwest
TXN000115,CUST00104,2024-01-17,Online Store,Books,84.37,1st Party - Online Store,cust00104@email.com,18-24,Prefer not to say,Southwest
TXN000116,CUST00182,2024-01-17,Streaming,Annual Subscription,106.29,1st Party - Streaming Platform,cust00182@email.com,,,East Coast
TXN000117,CUST00171,2024-01-17,Online Store,Collectible,56.84,1st Party - Online Store,cust00171@email.com,,,Midwest
TXN000118,CUST00051,2024-01-17,Theatrical,Family Adventure,24.69,3rd Party - AMC Theatres,,,,Southwest
TXN000119,CUST00228,2024-01-18,Streaming,Annual Subscription,147.49,1st Party - Streaming Platform,cust00228@email.com,45-54,Other,Southwest
TXN000120,CUST00605,2024-01-18,Theatrical,Family Adventure,16.32,3rd Party - AMC Theatres,,,,Southwest
TXN000121,CUST00019,2024-01-18,Online Store,Collectible,45.97,1st Party - Online Store,cust00019@email.com,18-24,M,Midwest
TXN000122,CUST00610,2024-01-18,Theatrical,Space Odyssey 2,23.57,3rd Party - AMC Theatres,,,,West Coast
TXN000123,CUST00195,2024-01-19,Theatrical,Superhero Origins,22.56,3rd Party - Regal Cinemas,,,,International
TXN000124,CUST00240,2024-01-19,Streaming,Monthly Subscription,13.17,1st Party - Streaming Platform,cust00240@email.com,35-44,F,Southwest
TXN000125,CUST00186,2024-01-19,Consumer Products,Merchandise - Apparel,51.75,3rd Party - Target,,,,International
TXN000126,CUST00049,2024-01-20,Theatrical,Superhero Origins,26.13,3rd Party - Cinemark,,,,Midwest
TXN000127,CUST00204,2024-01-20,Consumer Products,Merchandise - Apparel,21.88,3rd Party - Walmart,,,,Midwest
TXN000128,CUST00137,2024-01-20,Streaming,Premium Tier Upgrade,144.79,1st Party - Streaming Platform,cust00137@email.com,,,East Coast
TXN000129,CUST00105,2024-01-20,Studio Tours,Behind-the-Scenes Experience,348.49,1st Party - Studio Tours,cust00105@email.com,,,Southwest
