Customer ID,Email,Age Range,Gender,Primary Business Line,Business Lines Engaged,Total Transactions,Lifetime Value,First Interaction,Last Interaction,Engagement Score,Data Completeness %,Customer Data Type
CUST00156,cust00156@email.com,25-34,Other,Studio Tours,5,17,1845.3,2024-01-16,2024-12-14,100,77,Mixed (1st & 3rd Party)
CUST00177,cust00177@email.com,25-34,F,Streaming,5,15,1805.88,2024-02-14,2024-12-27,100,96,Mixed (1st & 3rd Party)
CUST00223,cust00223@email.com,35-44,M,Online Store,5,19,1802.78,2024-01-05,2024-12-27,100,80,Mixed (1st & 3rd Party)
CUST00111,cust00111@email.com,45-54,Prefer not to say,Studio Tours,4,11,1757.35,2024-02-28,2024-12-29,100,90,Mixed (1st & 3rd Party)
CUST00087,cust00087@email.com,18-24,F,Consumer Products,4,16,1728.09,2024-01-29,2024-12-12,100,96,Mixed (1st & 3rd Party)
CUST00194,cust00194@email.com,25-34,F,Studio Tours,4,12,1688.85,2024-01-07,2024-11-21,100,75,Mixed (1st & 3rd Party)
CUST00017,cust00017@email.com,18-24,Other,Streaming,5,15,1672.55,2024-01-10,2024-12-31,100,98,Mixed (1st & 3rd Party)
CUST00151,cust00151@email.com,45-54,M,Consumer Products,5,16,1640.29,2024-01-12,2024-12-16,100,78,Mixed (1st & 3rd Party)
CUST00137,cust00137@email.com,25-34,F,Streaming,5,16,1627.47,2024-01-15,2024-12-22,100,92,Mixed (1st & 3rd Party)
CUST00091,cust00091@email.com,45-54,Prefer not to say,Studio Tours,5,9,1613,2024-02-15,2024-11-04,94,86,Mixed (1st & 3rd Party)
CUST00179,cust00179@email.com,18-24,F,Theatrical,5,15,1607.87,2024-01-25,2024-12-11,100,83,Mixed (1st & 3rd Party)
CUST00162,cust00162@email.com,35-44,Prefer not to say,Studio Tours,5,11,1590.88,2024-01-22,2024-12-31,100,75,Mixed (1st & 3rd Party)
CUST00201,cust00201@email.com,55+,Prefer not to say,Consumer Products,5,13,1542.26,2024-01-14,2024-12-28,100,82,Mixed (1st & 3rd Party)
CUST00101,cust00101@email.com,18-24,Other,Studio Tours,4,9,1469.95,2024-03-21,2024-11-11,96,88,Mixed (1st & 3rd Party)
CUST00146,cust00146@email.com,25-34,F,Consumer Products,5,19,1468.54,2024-02-04,2024-11-20,100,82,Mixed (1st & 3rd Party)
CUST00148,cust00148@email.com,25-34,M,Online Store,5,18,1461.8,2024-01-03,2024-11-28,100,97,Mixed (1st & 3rd Party)
CUST00067,cust00067@email.com,18-24,F,Streaming,4,9,1410.71,2024-02-04,2024-11-30,100,79,Mixed (1st & 3rd Party)
CUST00134,cust00134@email.com,55+,Prefer not to say,Online Store,5,15,1410.29,2024-02-22,2024-12-13,100,96,Mixed (1st & 3rd Party)
CUST00199,cust00199@email.com,18-24,F,Studio Tours,5,11,1406.28,2024-04-09,2024-11-06,100,87,Mixed (1st & 3rd Party)
CUST00023,cust00023@email.com,35-44,F,Studio Tours,4,13,1401.73,2024-01-11,2024-11-02,100,80,Mixed (1st & 3rd Party)
CUST00089,cust00089@email.com,25-34,M,Studio Tours,4,9,1394.74,2024-01-13,2024-12-22,100,97,Mixed (1st & 3rd Party)
CUST00197,cust00197@email.com,18-24,F,Consumer Products,5,18,1377.16,2024-03-01,2024-12-16,100,94,Mixed (1st & 3rd Party)
CUST00249,cust00249@email.com,18-24,F,Studio Tours,3,9,1350.27,2024-01-09,2024-10-28,92,98,Mixed (1st & 3rd Party)
CUST00244,cust00244@email.com,18-24,Prefer not to say,Online Store,5,15,1345.52,2024-01-24,2024-12-24,100,79,Mixed (1st & 3rd Party)
CUST00238,cust00238@email.com,45-54,Other,Consumer Products,5,13,1334.17,2024-01-29,2024-12-02,100,98,Mixed (1st & 3rd Party)
CUST00198,cust00198@email.com,55+,M,Consumer Products,5,13,1324.27,2024-01-21,2024-12-23,100,99,Mixed (1st & 3rd Party)
CUST00035,cust00035@email.com,45-54,Prefer not to say,Streaming,5,12,1322.63,2024-01-01,2024-12-23,100,80,Mixed (1st & 3rd Party)
CUST00170,cust00170@email.com,55+,Prefer not to say,Online Store,5,12,1315.57,2024-01-26,2024-11-29,100,98,Mixed (1st & 3rd Party)
CUST00084,cust00084@email.com,25-34,Other,Studio Tours,5,10,1313.67,2024-02-12,2024-10-20,100,88,Mixed (1st & 3rd Party)
CUST00171,cust00171@email.com,35-44,F,Consumer Products,5,13,1312.95,2024-01-05,2024-12-15,100,81,Mixed (1st & 3rd Party)
CUST00184,cust00184@email.com,25-34,F,Streaming,5,12,1294.5,2024-02-16,2024-08-22,100,89,Mixed (1st & 3rd Party)
CUST00002,cust00002@email.com,18-24,F,Streaming,4,8,1283.69,2024-01-04,2024-11-15,84,78,Mixed (1st & 3rd Party)
CUST00159,cust00159@email.com,25-34,F,Consumer Products,5,13,1279.35,2024-03-23,2024-12-15,100,91,Mixed (1st & 3rd Party)
CUST00120,cust00120@email.com,35-44,Prefer not to say,Online Store,4,10,1275.37,2024-04-26,2024-12-14,100,99,Mixed (1st & 3rd Party)
CUST00173,cust00173@email.com,18-24,F,Streaming,5,12,1273.64,2024-01-05,2024-12-17,100,99,Mixed (1st & 3rd Party)
CUST00065,cust00065@email.com,25-34,Other,Studio Tours,4,8,1250.33,2024-01-02,2024-12-22,94,89,Mixed (1st & 3rd Party)
CUST00153,cust00153@email.com,18-24,M,Studio Tours,5,11,1232.92,2024-01-25,2024-12-01,100,77,Mixed (1st & 3rd Party)
CUST00113,cust00113@email.com,45-54,Other,Consumer Products,5,13,1224.51,2024-01-06,2024-10-06,100,91,Mixed (1st & 3rd Party)
CUST00105,cust00105@email.com,25-34,Other,Studio Tours,3,8,1223.75,2024-01-20,2024-11-23,86,78,Mixed (1st & 3rd Party)
CUST00051,cust00051@email.com,18-24,Prefer not to say,Studio Tours,3,9,1196.2,2024-01-17,2024-09-20,82,100,Mixed (1st & 3rd Party)
CUST00083,cust00083@email.com,25-34,M,Consumer Products,5,15,1192.43,2024-01-10,2024-12-30,100,85,Mixed (1st & 3rd Party)
CUST00246,cust00246@email.com,35-44,Other,Consumer Products,5,16,1179.73,2024-01-06,2024-12-08,100,78,Mixed (1st & 3rd Party)
CUST00056,cust00056@email.com,45-54,Other,Studio Tours,4,10,1173.81,2024-03-12,2024-09-25,96,87,Mixed (1st & 3rd Party)
CUST00189,cust00189@email.com,18-24,M,Theatrical,4,15,1170.96,2024-01-21,2024-12-24,100,98,Mixed (1st & 3rd Party)
CUST00222,cust00222@email.com,35-44,M,Studio Tours,4,11,1169.15,2024-02-21,2024-11-28,100,77,Mixed (1st & 3rd Party)
CUST00122,cust00122@email.com,55+,F,Online Store,5,11,1164.4,2024-01-13,2024-12-15,100,99,Mixed (1st & 3rd Party)
CUST00209,cust00209@email.com,18-24,F,Consumer Products,5,13,1162.61,2024-01-09,2024-12-23,100,92,Mixed (1st & 3rd Party)
CUST00163,cust00163@email.com,18-24,F,Theatrical,5,11,1156.12,2024-01-02,2024-11-05,100,77,Mixed (1st & 3rd Party)
CUST00099,cust00099@email.com,25-34,F,Studio Tours,4,9,1156.05,2024-01-26,2024-12-03,100,78,Mixed (1st & 3rd Party)
CUST00025,cust00025@email.com,55+,Other,Streaming,5,12,1154.98,2024-01-26,2024-12-03,100,91,Mixed (1st & 3rd Party)
CUST00154,cust00154@email.com,18-24,F,Studio Tours,5,11,1150.17,2024-01-04,2024-12-13,100,86,Mixed (1st & 3rd Party)
CUST00241,cust00241@email.com,18-24,Other,Consumer Products,5,10,1140.44,2024-01-22,2024-11-30,100,81,Mixed (1st & 3rd Party)
CUST00180,cust00180@email.com,25-34,F,Streaming,4,12,1140.09,2024-01-06,2024-12-15,100,91,Mixed (1st & 3rd Party)
CUST00196,cust00196@email.com,18-24,M,Online Store,5,11,1127.31,2024-01-12,2024-10-10,100,97,Mixed (1st & 3rd Party)
CUST00192,cust00192@email.com,18-24,F,Online Store,5,13,1125.56,2024-02-29,2024-12-18,100,87,Mixed (1st & 3rd Party)
CUST00058,cust00058@email.com,45-54,M,Online Store,4,11,1119.55,2024-03-11,2024-12-21,100,83,Mixed (1st & 3rd Party)
CUST00235,cust00235@email.com,45-54,F,Streaming,4,9,1114.75,2024-05-04,2024-11-26,99,95,Mixed (1st & 3rd Party)
CUST00110,cust00110@email.com,18-24,Prefer not to say,Studio Tours,4,11,1109.49,2024-01-08,2024-12-01,100,78,Mixed (1st & 3rd Party)
CUST00086,cust00086@email.com,35-44,F,Studio Tours,5,12,1109.48,2024-01-05,2024-08-21,100,80,Mixed (1st & 3rd Party)
CUST00144,cust00144@email.com,55+,F,Consumer Products,5,14,1108.41,2024-02-07,2024-12-29,100,78,Mixed (1st & 3rd Party)
CUST00175,cust00175@email.com,18-24,M,Studio Tours,4,8,1081.79,2024-01-08,2024-12-08,90,81,Mixed (1st & 3rd Party)
CUST00011,cust00011@email.com,25-34,F,Online Store,4,8,1080.14,2024-03-25,2024-12-19,93,87,Mixed (1st & 3rd Party)
CUST00227,cust00227@email.com,25-34,M,Studio Tours,5,10,1075.38,2024-01-30,2024-11-19,100,79,Mixed (1st & 3rd Party)
